user_id,item_id,rating
385,304,3.0
498,234,4.0
927,1284,4.0
869,298,3.0
585,582,3.0
715,121,4.0
721,82,4.0
413,690,4.0
435,351,2.0
417,713,2.0
715,743,2.0
454,414,2.0
2,298,3.0
326,837,4.0
181,1165,1.0
60,403,3.0
776,442,2.0
391,209,5.0
693,98,4.0
889,128,5.0
16,948,3.0
758,143,5.0
234,163,3.0
372,436,5.0
405,566,1.0
671,947,3.0
57,1096,3.0
774,175,3.0
497,53,3.0
152,33,5.0
647,427,4.0
7,652,3.0
307,631,3.0
747,216,2.0
454,431,3.0
601,201,5.0
344,274,2.0
18,208,4.0
323,763,4.0
244,70,4.0
314,220,4.0
561,50,3.0
167,126,3.0
508,121,2.0
332,651,5.0
416,477,4.0
262,223,3.0
435,188,4.0
707,8,5.0
429,511,5.0
18,492,4.0
524,187,5.0
523,722,3.0
18,28,3.0
606,432,5.0
314,94,4.0
312,967,3.0
446,326,2.0
373,179,3.0
641,434,4.0
304,322,4.0
94,1091,3.0
314,742,4.0
650,642,3.0
133,269,4.0
417,25,2.0
222,48,5.0
220,268,4.0
56,228,3.0
58,171,5.0
332,105,2.0
913,184,3.0
6,202,3.0
320,771,3.0
13,563,1.0
568,486,4.0
299,229,3.0
564,298,3.0
833,262,2.0
411,1470,3.0
864,1101,4.0
929,136,3.0
429,53,1.0
523,727,4.0
269,923,4.0
10,127,5.0
161,162,2.0
655,533,2.0
418,362,1.0
514,176,4.0
326,521,2.0
425,144,4.0
747,418,5.0
276,949,3.0
385,1037,1.0
877,690,4.0
457,25,4.0
923,237,4.0
588,652,2.0
704,214,2.0
917,3,1.0
838,257,5.0
309,286,4.0
313,496,5.0
57,321,4.0
326,451,2.0
755,245,4.0
675,86,4.0
682,117,4.0
624,690,4.0
508,47,3.0
327,749,3.0
892,230,4.0
548,12,5.0
29,306,4.0
639,313,1.0
897,451,4.0
201,96,4.0
271,480,4.0
683,354,3.0
101,763,3.0
575,182,3.0
724,352,1.0
8,127,5.0
896,632,2.0
159,628,3.0
913,310,3.0
234,608,3.0
861,737,3.0
10,161,4.0
161,315,5.0
379,520,5.0
653,367,3.0
298,50,5.0
193,405,3.0
851,301,3.0
535,693,3.0
630,465,1.0
854,632,4.0
276,38,3.0
936,1344,5.0
398,127,4.0
11,123,3.0
504,451,1.0
347,173,2.0
347,239,5.0
622,206,1.0
269,167,1.0
334,845,2.0
455,259,2.0
566,521,4.0
336,451,2.0
472,120,5.0
758,514,5.0
25,143,3.0
859,15,4.0
781,268,2.0
789,93,4.0
327,160,4.0
782,886,3.0
495,739,4.0
456,696,3.0
833,250,3.0
654,218,2.0
650,163,3.0
907,281,5.0
299,58,3.0
76,603,3.0
244,743,5.0
280,226,3.0
130,196,5.0
308,1047,3.0
907,1016,5.0
294,324,4.0
922,43,3.0
99,845,3.0
713,286,3.0
664,71,4.0
409,275,4.0
334,1198,3.0
474,22,4.0
840,181,3.0
870,172,4.0
652,294,2.0
116,531,2.0
851,192,4.0
814,565,3.0
96,56,5.0
308,679,4.0
102,431,3.0
653,28,4.0
418,346,2.0
268,52,3.0
551,218,5.0
402,222,4.0
576,1,4.0
294,1011,2.0
541,527,3.0
544,271,3.0
405,1046,2.0
298,864,3.0
592,952,4.0
588,1041,2.0
57,678,3.0
472,1119,5.0
74,15,4.0
717,281,4.0
119,823,3.0
327,70,4.0
551,1051,4.0
59,127,5.0
328,646,3.0
291,404,4.0
265,293,4.0
547,347,4.0
287,461,5.0
894,1115,4.0
53,924,3.0
347,22,5.0
587,351,2.0
94,1199,3.0
896,23,2.0
43,778,5.0
429,25,4.0
128,1,4.0
297,269,4.0
156,124,3.0
119,111,5.0
639,178,5.0
178,739,4.0
224,686,4.0
